Title,Description
"[F0][Setup] Configurar workflows de CI/CD para a pasta atual","Adaptar os arquivos genericos do template (.github/workflows e .github/dependabot.yml) para o FileBridge. Checklist: 1) Confirmar que existe pubspec.yaml em app/ - ajustar 'working-directory' nos steps de instalacao/build para apontar para ./app. 2) Ajustar 'branches: [main]' nos workflows caso a branch principal tenha outro nome. 3) Configurar workflow de analyze/format do Flutter (flutter analyze, dart format --set-exit-if-changed) no lugar de typescript-check/eslint, ja que o projeto e Dart. 4) Confirmar que existe analysis_options.yaml na raiz de app/ antes de habilitar o workflow de analyze. 5) Em dependabot.yml, adicionar bloco package-ecosystem 'pub' apontando para /app. 6) Preencher issues.csv deste projeto com o backlog real e rodar o workflow Importador Automatico de Issues manualmente (Actions > workflow_dispatch) para popular as Issues no GitHub. 7) Em Settings > Branches, criar branch protection rule na branch principal exigindo os checks de analyze antes do merge. 8) Em Settings > Code security, confirmar que Dependabot alerts e Dependabot security updates estao habilitados. Criterio de pronto: os workflows de CI rodam sem erro em um push de teste, o Dependabot abre PR de teste (ou confirma que nao ha atualizacoes pendentes), e a branch principal esta protegida exigindo os checks."
"[F1][Core] Implementar gerador de código de sessão (ANIMAL-NN)","Criar em core/session/ a lógica de geração do código no formato ANIMAL-NN (ex: TIGER-42). Checklist: 1) Definir lista de animais (constante, fácil de expandir) em inglês/maiúsculas. 2) Gerar 2 dígitos aleatórios. 3) Validar que o código gerado ainda não existe como sessão ativa no Firebase antes de exibir ao usuário (retry se colidir). 4) Expor função pura testável (sem side-effects de UI). Critério de pronto: função de geração com testes unitários cobrindo formato e ausência de colisão contra uma lista mockada de sessões ativas."
"[F1][Core] Tela de exibição do código em espelho","Tela de geração de código com fonte grande e orientação espelhada, pensada para os dois dispositivos ficarem com a tela virada um pro outro durante o pareamento. Checklist: 1) Layout com o código centralizado em fonte grande. 2) Aplicar transformação de espelhamento (rotação/flip) opcional via toggle, já que a leitura simultânea dos dois lados é uma hipótese de design a validar com uso real. 3) Botão de copiar/compartilhar o código. Critério de pronto: tela renderiza o código legível normalmente e em modo espelhado, testada em ao menos duas resoluções de tela."
"[F1][Core] Implementar módulo de sinalização (Firebase + WebRTC)","Canal Firebase Realtime Database + troca de SDP/ICE para o handshake WebRTC. Checklist: 1) Criar nó de sessão contendo apenas código, timestamp e payload de sinalização (nunca dado pessoal). 2) Implementar troca de oferta/resposta SDP e candidatos ICE. 3) Descartar/desconectar do Firebase assim que o DataChannel P2P for confirmado como aberto. 4) Tratar timeout de handshake (ex: 15s sem resposta = falha). Critério de pronto: dois dispositivos completam o handshake e abrem um DataChannel P2P em rede local, com o nó do Firebase sendo limpo após a conexão."
"[F1][Security] Escrever regras de produção do Firebase","Restringir escrita a criação de novo código de sessão, exigir timestamp, restringir leitura ao código exato, sem listagem de sessões. Checklist: 1) Regra de write permitindo apenas criação de nó novo (sem sobrescrever sessão existente de outro usuário). 2) Regra de validação exigindo campo timestamp no formato correto. 3) Regra de read restrita ao path exato do código (sem wildcard/listagem). 4) Testar as regras com o simulador do Firebase antes de publicar. Critério de pronto: regras publicadas no ambiente de produção, testadas no simulador cobrindo os casos de escrita indevida e leitura de listagem bloqueadas."
"[F1][Security] Implementar expiração (TTL) client-side das sessões","Cliente verifica timestamp do nó Firebase ao entrar numa sessão; trata e limpa como expirado após ~5 minutos. Checklist: 1) Ao ler um nó de sessão, comparar timestamp com o horário atual. 2) Se expirado, remover o nó e informar ao usuário que o código não é mais válido. 3) Definir os 5 minutos como constante configurável. Critério de pronto: sessão criada e não utilizada por mais de 5 minutos é automaticamente tratada como inválida e removida na próxima tentativa de leitura."
"[F1][Core] Implementar módulo de transferência (DataChannel)","Envio/recebimento via DataChannel, fragmentação adaptativa de arquivos, indicador de progresso. Sem limite de tamanho artificial. Checklist: 1) Implementar chunking do arquivo em partes de tamanho adequado ao DataChannel. 2) Implementar reconstrução do arquivo no destino a partir dos chunks recebidos. 3) Expor progresso (bytes enviados/recebidos) para a UI. 4) Tratar mensagens de texto no mesmo canal, com um cabeçalho simples distinguindo tipo (arquivo vs mensagem). Critério de pronto: transferência de um arquivo de teste (~50MB) entre dois dispositivos completa com integridade (hash igual) e progresso visível na UI."
"[F1][Core] Guarda técnica de memória para arquivos grandes","Aviso ou ajuste automático de estratégia de chunking apenas quando o tamanho do arquivo puder causar problema real de memória/desempenho no dispositivo. Checklist: 1) Definir um limiar técnico (ex: heurística baseada em memória disponível ou tamanho fixo alto, tipo 500MB+) apenas como guarda de segurança, não como limite de produto. 2) Acima do limiar, avisar o usuário sobre possível lentidão antes de confirmar o envio. 3) Sem bloqueio hard - o usuário pode prosseguir mesmo com o aviso. Critério de pronto: envio de arquivo acima do limiar dispara aviso, mas a transferência ainda pode ser confirmada e concluída."
"[F1][Core] Implementar módulo de buffer circular","Fila circular (padrão 20 itens) com auto-exclusão de arquivo + registro no overflow. Checklist: 1) Estrutura de fila circular em memória contando mensagens e arquivos juntos. 2) No overflow, remover o item mais antigo da fila e apagar o arquivo correspondente do disco (path_provider). 3) Expor o tamanho do buffer como constante (preparar para virar configurável depois, ver issue de pós-lançamento). Critério de pronto: ao ultrapassar 20 itens em uma sessão de teste, o item mais antigo desaparece da lista e seu arquivo correspondente não existe mais no diretório temporário."
"[F1][Core][UI] Implementar UI de chat","Tela única com mensagens de texto e preview de anexos de arquivo. Checklist: 1) Lista de itens (mensagens + arquivos) em ordem cronológica. 2) Campo de envio de texto e botão de anexar arquivo. 3) Preview de arquivo (nome, tamanho, ícone por tipo) com ação de abrir/salvar. 4) Indicador de progresso de envio/recebimento integrado à lista. Critério de pronto: usuário consegue enviar e receber mensagens e arquivos na mesma tela, com feedback visual de progresso e status."
